Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10u,
C10,0603,1,10uF,
C11,0603,1,10uF,
C12,0603,1,0.1u,
C13,0603,1,10u,
C2,0603,1,10u,
C3,0603,1,10u,
C4,0603,1,10u,
C5,0603,1,0.1u,
C6,0603,1,10u,
C7,0603,1,10u,
C8,0603,1,0.1u,
C9,0603,1,10u,
D1,0805,1,D_Schottky,
"D10, D17",LED_SMLE13WBC8W1,2,LED(OSWT1608),
D11,0805,1,RSX101VAM-30,
D12,0805,1,RSX101VAM-30,
D13,LED_SMLE13WBC8W1,1,R,
D14,LED_SMLE13WBC8W1,1,G,
D15,LED_SMLE13WBC8W1,1,Y,
D16,LED_SMLE13WBC8W1,1,B,
D18,LED_SMLE13WBC8W1,1,LED_PWR,
D2,0805,1,D_Schottky,
D3,LED_SMLE13WBC8W1,1,LED_BUILTIN,
D4,0805,1,RSX101VAM-30TR,
D5,LED_SMLE13WBC8W1,1,5V,
D6,0805,1,RSX101VAM-30TR,
D7,0603,1,LED(OSWT1608),
D8,0603,1,LED(OSWT1608),
D9,0805,1,RSX101VAM-30TR,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C319148
"J10, J11",PinHeader_1x04_P2.54mm_Vertical,2,drib-kick,
J12,JSTB8B-ZR,1,LINE,
"J13, J19",JSTB6B-ZR,2,ICSP,
J14,JSTS4B-ZRLFSN,1,MD1,
J15,JSTS4B-ZRLFSN,1,MD2,
J16,JSTS4B-ZRLFSN,1,MD3,
J17,JSTS4B-ZRLFSN,1,MD4,
J18,JSTB4B-ZR,1,I2C/OLED,
J2,JSTB4B-ZR,1,I2C_2,
J20,JSTB6B-ZR,1,Trimmer,
J21,PinHeader_1x01_P2.54mm_Vertical,1,GND-Test,
J3,PinSocket_2x05_P2.54mm_Vertical,1,Power IN,
J4,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,MD1,
J5,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,MD2,
J6,PinHeader_1x04_P2.54mm_Vertical,1,Serial0/XBee,
J7,PinHeader_1x04_P2.54mm_Vertical,1,Serial1/IMU,
J8,JSTB6B-ZR,1,to cam,
J9,JSTB4B-ZR,1,I2C_1,
JP1,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
JP2,PinHeader_1x02_P1.27mm_Vertical,1,Jumper_2_Bridged,
Q1,SOT-23_Handsoldering,1,AO3400A,
Q2,SOT-23_Handsoldering,1,AO3401A,
R1,0603,1,5.1K,
R10,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,1k,
R11,0603,1,10k,
R12,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,330,
R13,0603,1,10k,
R14,0603,1,10k,
R15,0603,1,10k,
R16,0603,1,470,
R17,0603,1,10k,
R18,0603,1,47k,
R19,0603,1,10k,
R2,0603,1,5.1K,
R20,0603,1,47k,
R21,0603,1,470,
R22,0603,1,10k,
R23,0603,1,10k,
R24,0603,1,470,
R25,0603,1,10k,
R26,0603,1,47k,
R27,0603,1,10k,
R28,0603,1,10k,
R29,0603,1,470,
R3,0603,1,470,
R30,0603,1,10k,
R31,0603,1,120,
R32,0603,1,120,
R33,0603,1,47k,
R34,0603,1,47k,
R35,0603,1,47k,
R36,0603,1,120,
R37,0603,1,120,
R38,0603,1,120,
R39,0603,1,120,
R4,0603,1,10k,
R40,0603,1,47k,
R41,0603,1,47k,
R42,0603,1,470,
R43,0603,1,470,
R44,0603,1,10k,
R5,0603,1,47k,
R6,0603,1,10k,
R7,0603,1,47k,
R8,0603,1,47k,
R9,0603,1,10k,
"RV1, RV2, RV3, RV4, RV5",Trim-GF063P,5,20K,
SW1,THAU13-AB-R,1,BOOTSET,C318936
SW2,SW_Tactile_Straight_KSA0Axx1LFTR,1,IMU SET,
"SW3, SW4",THAU13-AB-R,2,Reset,
SW5,MFS101D-14-Z,1,GOAL,
SW6,SW_NKK_B-12CCPRM,1,START,
SW7,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,1,AUX1,
U1,RP2040_Stamp_SMD,1,RP2040_Stamp,
U2,SOP14W,1,74HC32,
U3,SOP14W,1,74HC04,
U4,OKL-T3-W12N-C,1,OKL-T_3-W12N-C,
"U5, U6",TQFP-32_7x7mm_P0.8mm,2,ATmega328P-AU,
U7,SOT-223-3_TabPin2,1,AZ1117CH-3.3,
U8,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCF8574PW,
"Y1, Y2",Resonator-3Pin_W6.0mm_H3.0mm,2,8Mhz,
